2025-04-07 10:35:51,926 INFO    MainThread:85516 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-07 10:35:51,927 INFO    MainThread:85516 [wandb_setup.py:_flush():67] Configure stats pid to 85516
2025-04-07 10:35:51,927 INFO    MainThread:85516 [wandb_setup.py:_flush():67] Loading settings from /home/mallahova/.config/wandb/settings
2025-04-07 10:35:51,927 INFO    MainThread:85516 [wandb_setup.py:_flush():67] Loading settings from /home/mallahova/code/basics/projects/interview/RAGRepo/wandb/settings
2025-04-07 10:35:51,927 INFO    MainThread:85516 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-07 10:35:51,927 INFO    MainThread:85516 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/mallahova/code/basics/projects/interview/RAGRepo/wandb/run-20250407_103551-7zts80hv/logs/debug.log
2025-04-07 10:35:51,927 INFO    MainThread:85516 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/mallahova/code/basics/projects/interview/RAGRepo/wandb/run-20250407_103551-7zts80hv/logs/debug-internal.log
2025-04-07 10:35:51,927 INFO    MainThread:85516 [wandb_init.py:init():781] calling init triggers
2025-04-07 10:35:51,927 INFO    MainThread:85516 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'filter': {'exclude_extensions': ['.png', '.jpg', '.jpeg', '.gif', '.ico', '.svg', '.bin', '.exe', '.dll', '.so', '.dylib', '.apk', '.ipk', '.zip', '.tar', '.gz', '.o', '.obj', '.class', '.pyc'], 'exclude_dirs': ['build', 'dist', 'node_modules', 'vendor', 'bin', '__pycache__', 'docs/zhHans']}, 'chunking': {'chunk_size': 500, 'chunk_overlap': 0, 'splitter': {'class': 'RecursiveCharacterTextSplitter'}}, 'embedding': {'class': 'HuggingFaceEmbeddings', 'name': 'Snowflake/snowflake-arctic-embed-l-v2.0'}, 'retriever': {'top_k': 50, 'dense_weight': 1, 'query_expansion': False, 'use_reranker': False}, 'reranker': {'class': 'CohereRerank', 'name': 'rerank-v3.5', 'top_n': 10}, 'generator': {'class': 'ChatOpenAI', 'name': 'gpt-4o-mini', 'temperature': 0.3}, 'dense_weight': 1, '_wandb': {}}
2025-04-07 10:35:51,927 INFO    MainThread:85516 [wandb_init.py:init():809] starting backend
2025-04-07 10:35:51,927 INFO    MainThread:85516 [wandb_init.py:init():813] sending inform_init request
2025-04-07 10:35:51,934 INFO    MainThread:85516 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-07 10:35:51,935 INFO    MainThread:85516 [wandb_init.py:init():823] backend started and connected
2025-04-07 10:35:51,937 INFO    MainThread:85516 [wandb_init.py:init():915] updated telemetry
2025-04-07 10:35:51,943 INFO    MainThread:85516 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-07 10:35:52,653 INFO    MainThread:85516 [wandb_init.py:init():1014] starting run threads in backend
2025-04-07 10:35:52,968 INFO    MainThread:85516 [wandb_run.py:_console_start():2454] atexit reg
2025-04-07 10:35:52,968 INFO    MainThread:85516 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-07 10:35:52,969 INFO    MainThread:85516 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-07 10:35:52,969 INFO    MainThread:85516 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-07 10:35:52,970 INFO    MainThread:85516 [wandb_init.py:init():1056] run started, returning control to user process
