2025-04-07 12:31:29,345 INFO    MainThread:229277 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-07 12:31:29,346 INFO    MainThread:229277 [wandb_setup.py:_flush():67] Configure stats pid to 229277
2025-04-07 12:31:29,346 INFO    MainThread:229277 [wandb_setup.py:_flush():67] Loading settings from /home/mallahova/.config/wandb/settings
2025-04-07 12:31:29,346 INFO    MainThread:229277 [wandb_setup.py:_flush():67] Loading settings from /home/mallahova/code/basics/projects/interview/RAGRepo/wandb/settings
2025-04-07 12:31:29,346 INFO    MainThread:229277 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-07 12:31:29,346 INFO    MainThread:229277 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/mallahova/code/basics/projects/interview/RAGRepo/wandb/run-20250407_123129-a7qqwjjk/logs/debug.log
2025-04-07 12:31:29,346 INFO    MainThread:229277 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/mallahova/code/basics/projects/interview/RAGRepo/wandb/run-20250407_123129-a7qqwjjk/logs/debug-internal.log
2025-04-07 12:31:29,346 INFO    MainThread:229277 [wandb_init.py:init():781] calling init triggers
2025-04-07 12:31:29,346 INFO    MainThread:229277 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'filter': {'exclude_extensions': ['.png', '.jpg', '.jpeg', '.gif', '.ico', '.svg', '.bin', '.exe', '.dll', '.so', '.dylib', '.apk', '.ipk', '.zip', '.tar', '.gz', '.o', '.obj', '.class', '.pyc'], 'exclude_dirs': ['build', 'dist', 'node_modules', 'vendor', 'bin', '__pycache__', 'docs/zhHans']}, 'chunking': {'chunk_size': 500, 'chunk_overlap': 0, 'splitter': {'class': 'RecursiveCharacterTextSplitter'}}, 'embedding': {'class': 'HuggingFaceEmbeddings', 'name': 'Alibaba-NLP/gte-multilingual-base'}, 'retriever': {'top_k': 50, 'dense_weight': 0.9, 'query_expansion': False, 'use_reranker': False}, 'reranker': None, 'generator': {'class': 'ChatOpenAI', 'name': 'gpt-4o-mini', 'temperature': 0.3}, '_wandb': {}}
2025-04-07 12:31:29,346 INFO    MainThread:229277 [wandb_init.py:init():809] starting backend
2025-04-07 12:31:29,346 INFO    MainThread:229277 [wandb_init.py:init():813] sending inform_init request
2025-04-07 12:31:29,349 INFO    MainThread:229277 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-07 12:31:29,349 INFO    MainThread:229277 [wandb_init.py:init():823] backend started and connected
2025-04-07 12:31:29,351 INFO    MainThread:229277 [wandb_init.py:init():915] updated telemetry
2025-04-07 12:31:29,357 INFO    MainThread:229277 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-07 12:31:31,360 INFO    MainThread:229277 [wandb_init.py:init():1014] starting run threads in backend
2025-04-07 12:31:31,725 INFO    MainThread:229277 [wandb_run.py:_console_start():2454] atexit reg
2025-04-07 12:31:31,726 INFO    MainThread:229277 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-07 12:31:31,726 INFO    MainThread:229277 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-07 12:31:31,727 INFO    MainThread:229277 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-07 12:31:31,728 INFO    MainThread:229277 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-07 12:31:40,652 INFO    MainThread:229277 [wandb_run.py:_finish():2189] finishing run mallahova/ragrepo-retrieval/a7qqwjjk
2025-04-07 12:31:40,652 INFO    MainThread:229277 [wandb_run.py:_atexit_cleanup():2419] got exitcode: 0
2025-04-07 12:31:40,652 INFO    MainThread:229277 [wandb_run.py:_restore():2401] restore
2025-04-07 12:31:40,653 INFO    MainThread:229277 [wandb_run.py:_restore():2407] restore done
2025-04-07 12:31:41,864 INFO    MainThread:229277 [wandb_run.py:_footer_history_summary_info():4064] rendering history
2025-04-07 12:31:41,864 INFO    MainThread:229277 [wandb_run.py:_footer_history_summary_info():4096] rendering summary
2025-04-07 12:31:41,864 INFO    MainThread:229277 [wandb_run.py:_footer_sync_info():4025] logging synced files
